,Unnamed: 0,Smiles,CorrectionEnergy
0,0,OCC(O)CO,26.252550613498837
1,1,NC(CC(O)=O)C(O)=O,29.39968233049089
2,2,N[C@@H](CCC(N)=O)C(O)=O,28.947663673191585
3,3,NC(CCC(O)=O)C(O)=O,29.98356083751615
4,4,NCCCCC(N)C(O)=O,27.871831993070654
5,5,N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O,30.92220068724153
6,6,OCC(O)CO[P](O)(O)=O,28.628227814694995
7,7,C=CCN=C=S,39.50889117493639
8,8,CCCCCCCCCCCCCCCCCC(O)=O,38.52548273467403
9,9,CN(C)N,25.25489494214796
10,10,O=C1NC(=O)C(N1)(c2ccccc2)c3ccccc3,-37.23102065545945
11,11,CCOC(=O)C1(CCN(C)CC1)c2ccccc2,-0.5067968145033888
12,12,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,28.622011993070444
13,13,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,25.80262419076385
14,14,CC(O)CO,27.04152777782281
15,15,O=C1CCO1,31.723972293619013
16,16,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@]2(O)C#C,-47.63388593223854
17,17,NC(N)=N[S](=O)(=O)c1ccc(N)cc1,2.2382338603377008
18,18,ClC1CC2C(C1Cl)C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl,44.619640500095436
19,19,CCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,49.25672295868897
20,20,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,47.77112511952368
21,21,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@H]2O,0.3712000124006352
22,22,CN=C1CN(O)C(=C2C=C(Cl)C=CC2=N1)c3ccccc3,-26.45680628993773
23,23,CN1CCN(CCCN2c3ccccc3Sc4ccc(Cl)cc24)CC1,-37.32211282327478
24,24,OCC1OC(C(O)C1O)n2cnc3C(=O)N=CNc23,-28.74450800693006
25,25,OC1COC(O)C(O)C1O,26.295010463224695
26,26,OCC1OC(O)C(O)C(O)C1O,25.751261805924386
27,27,CCN(CC)C(=O)c1cccnc1,-5.625793678278825
28,28,O=C1Nc2ccccc2C=C1,-29.887430542054762
29,29,Nc1ccc(cc1)[S](=O)(=O)Nc2cnc3ccccc3n2,-62.3378391624846
30,30,[Cl-].Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1,-39.55581535840045
31,31,Cc1ccccc1OCC(O)CO,-6.405296701099744
32,32,Cc1cc(O)ccc1Cl,-6.280537893526429
33,33,CSCCC(N)C(O)=O,30.317470650370428
34,34,OCC(S)CS,30.255030613498487
35,35,OCC1OC(O[P](O)(O)=O)C(O)C(O)C1O,28.23015900711937
36,36,O=NN1CCOCC1,29.61925214334529
