,Smiles,CorrectionEnergy
0,CC(C)(C)CO,29.025011956198227
1,CN=C=S,34.44940680941514
2,C1OCOCO1,27.387957777823658
3,CC(N)=O,27.995009457943958
4,CC(O)CNCC(C)O,26.99646897024985
5,NC(=O)C=C,32.64341531644032
6,NC(N)=S,27.814656622269055
7,COC(=O)C(=O)OC,32.68560665914062
8,NCC(O)=O,27.287212293618843
9,NCCC(O)=O,27.868150800644948
10,CC(C)(N)C(O)=O,28.35146930767013
11,C\C=C\C(O)=O,34.0335209877907
12,OC(O)C(Cl)(Cl)Cl,28.624849270798443
13,CC(C)C1CCC(C)CC1O,32.49741165565075
14,NC(=N)NC#N,-26.027819322369417
15,OC1COC(O)C(O)C1O,26.056240463224768
16,CCCCOC(N)=O,28.957017814695476
17,CC1=CCC(CC1)C(C)(C)O,35.98052900712163
18,CC(N)C(O)=O,27.82976080064479
19,CC(C)COC(N)=O,28.896967814695444
20,CC(=C)C1CC=C(C)C(O)C1,39.862666358592094
21,S=C1NCCN1,29.963810800644225
22,CC(C)(C)OC(N)=O,28.642707814695484
23,CCCCCCCCCCCCCCO,34.45263851942744
24,NCCCCCC(O)=O,29.62622632172061
25,OCC(O)C(O)C(O)C(O)CO,25.279184641599613
26,CC1(C)C2CCC1(C)C(O)C2,33.43160881997517
27,CCC(N)C(O)=O,28.460869307669952
28,OCC1OC(O)C(O)C(O)C1O,1947.4865418059237
29,C\C=C\C=C\C(O)=O,38.90568535331228
30,OC(=O)CC(O)=O,30.741678152115554
31,CC(C)C(N)C(O)=O,29.052377814695504
32,CCCCCCCCCC(O)=O,33.71775467847192
33,OC(=O)C1CCCN1,29.78551497902029
34,CCCCC(N)C(O)=O,29.641276321720596
35,CC(C)CC(N)C(O)=O,29.602086321720407
36,NC(CS)C(O)=O,29.11358363631993
37,OC(=O)CCCC(O)=O,31.733515166166185
38,OC1CNC(C1)C(O)=O,29.01292781469529
39,CC(O)C(N)C(O)=O,27.682302143345495
40,CCN(N=O)C(N)=O,28.799519494815897
41,CSCCC(N)C(O)=O,30.411220650370424
42,NC1=N[NH]C=N1,-7.832442071902136
43,OC(CC(O)=O)C(O)=O,30.559299494815548
44,NC(CCC(N)=O)C(O)=O,28.893173673191342
45,CNC(=O)O\N=C\C(C)(C)SC,34.27203068724209
46,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,35.03104479187395
47,CCC1(CC)C(=O)NCC(C)C1=O,35.79596486561758
48,CC1=CC(=O)NO1,5.072196622269338
49,NC(CCCNC(N)=N)C(O)=O,27.27768068724214
50,CNC(=O)O\N=C(\C)SC,33.12143367319143
51,[O-][N+](=O)OC1COC2C(COC12)O[N+]([O-])=O,35.112440687240976
52,CC1=CC=C(O)C=C1,-6.709527893526314
53,CC1=C(O)C=CC=C1,-6.817507893526312
54,CC1(C)C(=O)NC(=O)NC1=O,32.64681669601276
55,NC1=CC=C(N)C=C1,-10.471997893526222
56,NC1=CC(=CC=C1)N,-10.660537893526083
57,NC1=C(N)C=CC=C1,-10.244097893526131
58,CC1=CC=C(CO)C=C1,-6.1842893865007795
59,CN(C)C1=NC(=O)N(C2CCCCC2)C(=O)N1C,1.5143333726426818
60,CN(C)NC(=O)CCC(O)=O,30.385642180216834
61,O=C1NC(=O)C2(CC2)C(=O)N1,34.25935386033713
62,OC1=CC=C(O)C=C1,-8.116353564876533
63,CCCCCCCCCCNC(=O)NC1CCCCC1,35.49466989899818
64,OC1=CC(=CC=C1)O,-8.33841356487659
65,OC1=C(O)C=CC=C1,-8.173263564876564
66,CCC1=CC=C(O)C=C1,-6.239779386500743
67,CCN(CC)C(=S)SSC(=S)N(CC)CC,40.64347904399287
68,CCC1(C)C(=O)NC(=O)NC1=O,33.294875203037904
69,NC1=NC(=O)NC=C1,-7.997943377730692
70,CC1=C(C)C=C(O)C=C1,-6.40940938650084
71,CC1=CC(=C(C)C=C1)O,-6.433679386500728
72,OCC1=C(O)C=CC=C1,-7.616275057850913
