,Smiles,CorrectionEnergy
0,C1=CC2=C3C(=C1)C=CC3=CC=C2,-27.009712035030148
1,CC(N)=O,28.416679457944014
2,CC#N,-24.030483687890744
3,CC(=O)C1=CC=CC=C1,-2.821232035029894
4,C=CC=O,35.44518964509014
5,C=CC=O,35.4453396450901
6,C=CC(N)=O,32.643565316440174
7,C=CC#N,-19.41757782939457
8,CCCCCOC(C)=O,32.29476915739603
9,CCC(C)(C)C1=CC=CC=C1,-3.384836701099786
10,CC12CCCC1C1CCC3CC(=O)C(=O)CC3(C)C1CC2,45.39270725046845
11,COC1=CC=CC=C1,-6.221387893526369
12,C1=CC=C2C=C3C=CC=CC3=CC2=C1,-59.35225789352589
13,O=C1C2=CC=CC=C2C(=O)C2=C1C=CC=C2,-33.32709050518413
14,O=CC1=CC=CC=C1,-3.0350505420556573
15,NC(=O)C1=CC=CC=C1,-5.7830948707050425
16,C1=CC=CC=C1,-6.180749236227065
17,C1=CC=C2C(=C1)C=CC1=C2CC2=C1C=CC=C2,-65.27037371515053
18,C1=CC=C2C(=C1)C=C1C=CC3=CC=CC4=CC=C2C1=C34,-101.67571222217629
19,C1=CC2=CC=C3C4=C(C=CC=C4)C=C4C=CC(=C1)C2=C43,-101.67576222217599
20,C1=CC2=CC3=C(C=C2C=C1)C1=C(C=CC=C1)C3,-65.34216371515001
21,N#CC1=CC=CC=C1,-57.863508016540564
22,O=C(C1=CC=CC=C1)C1=CC=CC=C1,-36.60332636367971
23,CCCCOC(=O)C1=CC=CC=C1C(=O)OCC1=CC=CC=C1,-32.86247946303317
24,CCC(=O)OCC(=O)C1(OC(=O)CC)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,59.092647397937924
25,C1=CC=C(CCC2=CC=CC=C2)C=C1,-38.55655804380024
26,C1=CC=C(C2=CC=CC=C2)C=C1,-39.709495057851115
27,CC(C)CBr,30.785240613498047
28,ClCCCBr,30.884892106472904
29,CC(C)CCBr,31.323139120523095
30,O=CC1=CC=C(O)C(Br)=C1,-2.6539177063803976
31,BrC1=CC=CC=C1,-4.803609236227125
32,CCCCBr,30.753930613498085
33,ClC1=CC=CC=C1Br,-4.111029236226649
34,ClC1=CC=CC(Br)=C1,-4.151529236226487
35,ClCBr,30.09210509242279
36,ClC(Cl)Br,31.081595092422724
37,CCBr,29.600043599447773
38,CCCBr,30.186662106472937
39,CC(C)Br,30.071012106472978
40,CC1=CC=CC(Br)=C1,-4.432100729201494
41,CCCC,29.343520613498022
42,CCCCO,28.521783449173064
43,CCC(C)O,28.45857344917293
44,CCCCOCCO,29.277823298899705
45,CCCCOC(C)=O,31.736700650370366
46,CCCCC1=CC=CC=C1,-4.028655208125372
47,CC(C)(C)C1=CC=CC=C1,-4.004325208125437
48,CCC(C)C1=CC=CC=C1,-4.017805208125466
49,CCCC=O,32.01825080064411
50,CC12CCC(CC1=O)C2(C)C,36.66938617144632
51,CCCCCC=O,33.142197814695194
52,CCCCCCCC=O,34.402964828746235
53,ClC(Cl)(Cl)Cl,31.329675092422683
54,ClCCBr,30.399553599447945
55,CCC(C)(C)Cl,30.22718912052285
56,CC(C)CCl,29.984950613497908
57,C1=CC(=CC=C1[N+](=O)[O-])Cl,-3.352240542055867
58,COC1=CC=CC=C1Cl,-5.520927893526348
59,COC1=CC=CC(Cl)=C1,-5.614977893526515
60,COC1=CC=C(Cl)C=C1,-5.598417893526502
61,ClC1=CC=CC=C1,-5.579329236227096
62,ClC1=CC=CC=C1C1=CC=CC=C1,-39.135445057850944
63,ClC1=CC(C2=CC=CC=C2)=CC=C1,-39.09763505785115
64,ClC1=CC=C(C2=CC=CC=C2)C=C1,-39.10217505785103
65,CCCCCl,30.023370613498003
66,CCC(C)Cl,29.8188906134979
